Date,Open,High,Low,Close,Volume,Adj Close
1973-07-24,312.750092,313.50,309.00,311.750092,670400,6.333437
1973-07-23,315.00,316.50,310.50,312.750092,484800,6.353753
1973-07-20,315.00,318.50,313.00,315.00,492800,6.399462
1973-07-19,314.249908,319.249908,312.50,315.00,806400,6.399462
1973-07-18,310.00,316.00,308.00,314.249908,806400,6.384223
1973-07-17,319.00,319.50,309.124969,310.00,628800,6.297883
1973-07-16,310.00,319.00,307.50,319.00,708800,6.480725
1973-07-13,313.750092,316.50,310.00,310.00,313600,6.297883
1973-07-12,319.00,319.00,313.750092,313.750092,699200,6.374069
1973-07-11,315.00,320.00,315.00,320.00,990400,6.50104
1973-07-10,308.249908,314.00,308.249908,314.00,1120000,6.379146
1973-07-09,300.249908,305.50,299.249908,305.50,680000,6.206462
1973-07-06,300.00,302.00,298.750092,300.249908,470400,6.099803
1973-07-05,298.50,301.00,296.50,300.00,588800,6.094725
1973-07-03,304.00,304.00,295.00,298.50,1688000,6.064252
1973-07-02,314.00,314.00,305.249908,305.249908,553600,6.201381
1973-06-29,319.50,319.50,315.750092,317.00,364800,6.440093
1973-06-28,313.249908,319.750092,313.00,319.750092,577600,6.495963
1973-06-27,312.750092,314.50,309.50,313.249908,446400,6.363907
1973-06-26,308.750092,315.50,306.00,312.750092,1084800,6.353753
1973-06-25,314.124969,314.124969,308.624969,308.750092,593600,6.27249
1973-06-22,315.50,320.00,315.249908,316.750092,617600,6.435016
1973-06-21,319.00,319.00,313.750092,315.50,422400,6.40962
1973-06-20,318.00,322.249908,317.750092,321.50,504000,6.531514
1973-06-19,314.00,318.00,311.124969,318.00,728000,6.460409
1973-06-18,317.00,317.00,312.875031,314.00,411200,6.379146
1973-06-15,319.750092,319.750092,315.50,318.249908,584000,6.465486
1973-06-14,328.50,328.50,320.00,321.00,726400,6.521356
1973-06-13,329.249908,333.50,328.50,329.50,907200,6.69404
1973-06-12,323.249908,330.00,323.249908,329.249908,763200,6.688959
1973-06-11,324.249908,327.00,322.50,323.00,516800,6.561988
1973-06-08,322.00,325.249908,321.00,324.249908,564800,6.587381
1973-06-07,318.50,332.50,318.50,322.00,649600,6.541672
1973-06-06,317.00,319.750092,313.124969,315.00,638400,6.399462
1973-06-05,309.750092,317.00,309.750092,317.00,712000,6.440093
1973-06-04,310.00,310.750092,307.124969,309.750092,662400,6.292806
1973-06-01,314.00,314.00,310.00,310.00,696000,6.297883
1973-05-31,319.00,319.750092,314.00,314.750092,755200,6.394385
1973-05-30,323.50,324.00,318.750092,319.00,622400,6.480725
