Threshold = 107 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 105366.8125
Threshold = 108 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 111385.7578125
Threshold = 109 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 116886.734375
Threshold = 110 | F-measure = 0.2698537 | clusters = 3 | common = 102 | cost = 120910.4921875
Threshold = 111 | F-measure = 0.2596593 | clusters = 1 | common = 100 | cost = 128515.359375
Threshold = 112 | F-measure = 0.2653037 | clusters = 5 | common = 100 | cost = 127791.3828125
Threshold = 113 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 138906.625
Threshold = 114 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 143579.90625
Threshold = 115 | F-measure = 0.2673816 | clusters = 4 | common = 101 | cost = 146105.0625
Threshold = 116 | F-measure = 0.264508 | clusters = 5 | common = 100 | cost = 150902.265625
Threshold = 117 | F-measure = 0.2618797 | clusters = 5 | common = 99 | cost = 161859.609375
Threshold = 118 | F-measure = 0.2677703 | clusters = 7 | common = 100 | cost = 161056.453125
Threshold = 119 | F-measure = 0.2629578 | clusters = 9 | common = 97 | cost = 165902.234375
Threshold = 120 | F-measure = 0.2659151 | clusters = 8 | common = 99 | cost = 174197.90625
Threshold = 121 | F-measure = 0.2640485 | clusters = 9 | common = 98 | cost = 179888.53125
Threshold = 122 | F-measure = 0.2597382 | clusters = 9 | common = 97 | cost = 186349.203125
Threshold = 123 | F-measure = 0.2634599 | clusters = 6 | common = 99 | cost = 196235.484375
Threshold = 124 | F-measure = 0.2677565 | clusters = 14 | common = 97 | cost = 192878.984375
Threshold = 125 | F-measure = 0.2708061 | clusters = 15 | common = 97 | cost = 196232.140625
Threshold = 126 | F-measure = 0.268078 | clusters = 15 | common = 96 | cost = 202138.796875
Threshold = 127 | F-measure = 0.26637 | clusters = 19 | common = 94 | cost = 204884.140625
Threshold = 128 | F-measure = 0.269694 | clusters = 19 | common = 96 | cost = 215630.0625
Threshold = 129 | F-measure = 0.2641222 | clusters = 24 | common = 92 | cost = 214142.9375
Threshold = 130 | F-measure = 0.2680948 | clusters = 23 | common = 92 | cost = 227406.96875
Threshold = 131 | F-measure = 0.2589915 | clusters = 22 | common = 92 | cost = 229702.953125
Threshold = 132 | F-measure = 0.2582731 | clusters = 19 | common = 92 | cost = 229983.140625
Threshold = 133 | F-measure = 0.2640512 | clusters = 34 | common = 87 | cost = 239187.15625
Threshold = 134 | F-measure = 0.2641393 | clusters = 28 | common = 90 | cost = 225028.0625
Threshold = 135 | F-measure = 0.2632531 | clusters = 36 | common = 87 | cost = 242103.328125
