Threshold = 123 | F-measure = 0.854110322289836 | clusters = 39 | cost = 1773.77478027344 | common = 206
Threshold = 124 | F-measure = 0.84959472294665 | clusters = 40 | cost = 1987.27124023438 | common = 205
Threshold = 125 | F-measure = 0.84959472294665 | clusters = 40 | cost = 2212.69018554688 | common = 205
Threshold = 126 | F-measure = 0.84959472294665 | clusters = 40 | cost = 2456.48217773438 | common = 205
Threshold = 127 | F-measure = 0.84959472294665 | clusters = 40 | cost = 2717.7353515625 | common = 205
Threshold = 128 | F-measure = 0.84959472294665 | clusters = 40 | cost = 3004.61889648438 | common = 205
Threshold = 129 | F-measure = 0.84959472294665 | clusters = 40 | cost = 3325.8203125 | common = 205
Threshold = 130 | F-measure = 0.84959472294665 | clusters = 40 | cost = 3681.080078125 | common = 205
Threshold = 131 | F-measure = 0.84959472294665 | clusters = 40 | cost = 4065.86962890625 | common = 205
Threshold = 132 | F-measure = 0.84959472294665 | clusters = 40 | cost = 4476.9970703125 | common = 205
Threshold = 133 | F-measure = 0.84959472294665 | clusters = 40 | cost = 4911.45361328125 | common = 205
Threshold = 134 | F-measure = 0.84959472294665 | clusters = 40 | cost = 5362.517578125 | common = 205
Threshold = 135 | F-measure = 0.84959472294665 | clusters = 40 | cost = 5832.69091796875 | common = 205
Threshold = 136 | F-measure = 0.843560240188029 | clusters = 41 | cost = 6318.6083984375 | common = 204
Threshold = 137 | F-measure = 0.843560240188029 | clusters = 41 | cost = 6812.63623046875 | common = 204
Threshold = 138 | F-measure = 0.843560240188029 | clusters = 42 | cost = 7310.63818359375 | common = 204
Threshold = 139 | F-measure = 0.843560240188029 | clusters = 42 | cost = 7811.33984375 | common = 204
Threshold = 140 | F-measure = 0.843560240188029 | clusters = 42 | cost = 8314.1181640625 | common = 204
Threshold = 141 | F-measure = 0.830672744541913 | clusters = 44 | cost = 8717.626953125 | common = 202
Threshold = 142 | F-measure = 0.830672744541913 | clusters = 44 | cost = 9030.30859375 | common = 202
Threshold = 143 | F-measure = 0.824262148117313 | clusters = 43 | cost = 9563.3759765625 | common = 201
Threshold = 144 | F-measure = 0.824262148117313 | clusters = 43 | cost = 9792.958984375 | common = 201
Threshold = 145 | F-measure = 0.805167065641282 | clusters = 45 | cost = 9779.9951171875 | common = 198
Threshold = 146 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8423.7060546875 | common = 198
Threshold = 147 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8388.6884765625 | common = 198
Threshold = 148 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8356.9443359375 | common = 198
Threshold = 149 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8327.5458984375 | common = 198
Threshold = 150 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8301.32421875 | common = 198
Threshold = 151 | F-measure = 0.805167065641282 | clusters = 44 | cost = 9370.560546875 | common = 198
Threshold = 152 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8269.46484375 | common = 198
Threshold = 153 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8272.2763671875 | common = 198
Threshold = 154 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8284.8076171875 | common = 198
Threshold = 155 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8308.3134765625 | common = 198
Threshold = 156 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8346.6005859375 | common = 198
Threshold = 157 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8399.5078125 | common = 198
Threshold = 158 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8470.0791015625 | common = 198
Threshold = 159 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8566.5849609375 | common = 198
Threshold = 160 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8691.611328125 | common = 198
Threshold = 161 | F-measure = 0.805167065641282 | clusters = 43 | cost = 8837.189453125 | common = 198
Threshold = 162 | F-measure = 0.805167065641282 | clusters = 43 | cost = 9027.5927734375 | common = 198
Threshold = 163 | F-measure = 0.805167065641282 | clusters = 43 | cost = 9260.3515625 | common = 198
Threshold = 164 | F-measure = 0.805167065641282 | clusters = 43 | cost = 9537.3125 | common = 198
Threshold = 165 | F-measure = 0.805167065641282 | clusters = 43 | cost = 9851.873046875 | common = 198
Threshold = 166 | F-measure = 0.801307475828345 | clusters = 44 | cost = 10210.5810546875 | common = 197
Threshold = 167 | F-measure = 0.801307475828345 | clusters = 44 | cost = 10607.33984375 | common = 197
Threshold = 168 | F-measure = 0.801307475828345 | clusters = 44 | cost = 11043.7333984375 | common = 197
Threshold = 169 | F-measure = 0.801307475828345 | clusters = 44 | cost = 11533.8427734375 | common = 197
Threshold = 170 | F-measure = 0.801307475828345 | clusters = 44 | cost = 12078.640625 | common = 197
Threshold = 171 | F-measure = 0.795007741080335 | clusters = 45 | cost = 12702.24609375 | common = 196
Threshold = 172 | F-measure = 0.795007741080335 | clusters = 45 | cost = 13390.5068359375 | common = 196
Threshold = 173 | F-measure = 0.795007741080335 | clusters = 45 | cost = 14134.66015625 | common = 196
Threshold = 174 | F-measure = 0.795007741080335 | clusters = 45 | cost = 14941.3076171875 | common = 196
Threshold = 175 | F-measure = 0.795007741080335 | clusters = 45 | cost = 15817.6708984375 | common = 196
Threshold = 176 | F-measure = 0.795007741080335 | clusters = 45 | cost = 16767.84765625 | common = 196
Threshold = 177 | F-measure = 0.77612523409612 | clusters = 46 | cost = 17002.515625 | common = 193
Threshold = 178 | F-measure = 0.77612523409612 | clusters = 48 | cost = 18836.302734375 | common = 193
Threshold = 179 | F-measure = 0.77612523409612 | clusters = 48 | cost = 19728.169921875 | common = 193
Threshold = 180 | F-measure = 0.77612523409612 | clusters = 47 | cost = 20553.71875 | common = 193
Threshold = 181 | F-measure = 0.77612523409612 | clusters = 47 | cost = 21569.712890625 | common = 193
Threshold = 182 | F-measure = 0.77612523409612 | clusters = 47 | cost = 22585.71484375 | common = 193
Threshold = 183 | F-measure = 0.769698901807718 | clusters = 48 | cost = 23595.71875 | common = 192
Threshold = 184 | F-measure = 0.769698901807718 | clusters = 48 | cost = 24584.712890625 | common = 192
Threshold = 185 | F-measure = 0.769698901807718 | clusters = 48 | cost = 25573.705078125 | common = 192
Threshold = 186 | F-measure = 0.769698901807718 | clusters = 47 | cost = 25752.228515625 | common = 192
Threshold = 187 | F-measure = 0.769698901807718 | clusters = 48 | cost = 27551.685546875 | common = 192
Threshold = 188 | F-measure = 0.769698901807718 | clusters = 47 | cost = 27746.21875 | common = 192
Threshold = 189 | F-measure = 0.769698901807718 | clusters = 47 | cost = 28743.208984375 | common = 192
Threshold = 190 | F-measure = 0.769698901807718 | clusters = 47 | cost = 29740.201171875 | common = 192
Threshold = 191 | F-measure = 0.769698901807718 | clusters = 47 | cost = 30737.19921875 | common = 192
Threshold = 192 | F-measure = 0.769698901807718 | clusters = 47 | cost = 31734.1953125 | common = 192
Threshold = 193 | F-measure = 0.769698901807718 | clusters = 47 | cost = 32731.19140625 | common = 192
Threshold = 194 | F-measure = 0.757233660149482 | clusters = 51 | cost = 34386.40625 | common = 190
Threshold = 195 | F-measure = 0.769698901807718 | clusters = 47 | cost = 34725.1875 | common = 192
Threshold = 196 | F-measure = 0.763453712195305 | clusters = 49 | cost = 35813.65625 | common = 191
Threshold = 197 | F-measure = 0.763453712195305 | clusters = 49 | cost = 36712.65234375 | common = 191
Threshold = 198 | F-measure = 0.763453712195305 | clusters = 49 | cost = 37611.65234375 | common = 191
Threshold = 199 | F-measure = 0.757233660149482 | clusters = 51 | cost = 38431.38671875 | common = 190
