Threshold =  124  | F-measure =  0.170315544130199  | clusters =  192  | cost =  818971.3125
Threshold =  125  | F-measure =  0.169562937907258  | clusters =  184  | cost =  813418.3125
Threshold =  126  | F-measure =  0.139956203223191  | clusters =  166  | cost =  809396.9375
Threshold =  127  | F-measure =  0.180083805763144  | clusters =  219  | cost =  803107.5625
Threshold =  128  | F-measure =  0.18378827190553  | clusters =  200  | cost =  798214.8125
Threshold =  129  | F-measure =  0.174445714063508  | clusters =  231  | cost =  793380.0625
Threshold =  130  | F-measure =  0.173152610615232  | clusters =  225  | cost =  787944.3125
Threshold =  131  | F-measure =  0.173008932454312  | clusters =  231  | cost =  782865.25
Threshold =  132  | F-measure =  0.178225898509874  | clusters =  218  | cost =  777269.4375
Threshold =  133  | F-measure =  0.171048397943243  | clusters =  218  | cost =  771748.6875
Threshold =  134  | F-measure =  0.188508570653426  | clusters =  225  | cost =  766763.125
Threshold =  135  | F-measure =  0.175247961641082  | clusters =  193  | cost =  761362.875
Threshold =  136  | F-measure =  0.136880815544609  | clusters =  147  | cost =  756454.3125
Threshold =  137  | F-measure =  0.176152050368446  | clusters =  200  | cost =  750026
Threshold =  138  | F-measure =  0.182813690820615  | clusters =  228  | cost =  746764.875
Threshold =  139  | F-measure =  0.174326864060501  | clusters =  177  | cost =  741425.375
Threshold =  140  | F-measure =  0.174445714063508  | clusters =  232  | cost =  736600.5
Threshold =  141  | F-measure =  0.184668445261577  | clusters =  217  | cost =  731103.6875
Threshold =  142  | F-measure =  0.18152058737234  | clusters =  224  | cost =  726310.875
Threshold =  143  | F-measure =  0.174445714063508  | clusters =  232  | cost =  721230.4375
Threshold =  144  | F-measure =  0.174115073769936  | clusters =  204  | cost =  715091.25
Threshold =  145  | F-measure =  0.181988252002062  | clusters =  204  | cost =  709405.4375
Threshold =  146  | F-measure =  0.166342414455923  | clusters =  199  | cost =  705601.6875
Threshold =  147  | F-measure =  0.181520587372339  | clusters =  226  | cost =  700218.4375
Threshold =  148  | F-measure =  0.160228559589439  | clusters =  219  | cost =  694691.75
Threshold =  149  | F-measure =  0.182813690820615  | clusters =  230  | cost =  690587.1875
Threshold =  150  | F-measure =  0.180978742071541  | clusters =  170  | cost =  683729.375
Threshold =  151  | F-measure =  0.173912052322949  | clusters =  228  | cost =  680066
Threshold =  152  | F-measure =  0.177157354984434  | clusters =  214  | cost =  674807.0625
Threshold =  153  | F-measure =  0.177060033558337  | clusters =  216  | cost =  669640.8125
Threshold =  154  | F-measure =  0.146116860657936  | clusters =  187  | cost =  664409.9375
Threshold =  155  | F-measure =  0.165465829006036  | clusters =  230  | cost =  659855
Threshold =  156  | F-measure =  0.146169703461711  | clusters =  166  | cost =  653207.625
Threshold =  157  | F-measure =  0.178348191394416  | clusters =  196  | cost =  648455.625
Threshold =  158  | F-measure =  0.180853156309546  | clusters =  211  | cost =  643717.5
Threshold =  159  | F-measure =  0.186571653920792  | clusters =  201  | cost =  639537.125
Threshold =  160  | F-measure =  0.190582220348955  | clusters =  224  | cost =  634691
Threshold =  161  | F-measure =  0.179614494700702  | clusters =  176  | cost =  629278.125
Threshold =  162  | F-measure =  0.181001417000228  | clusters =  188  | cost =  624207.1875
Threshold =  163  | F-measure =  0.180801020093585  | clusters =  184  | cost =  618045.8125
Threshold =  164  | F-measure =  0.18137690921142  | clusters =  228  | cost =  615423.8125
Threshold =  165  | F-measure =  0.177318443675892  | clusters =  198  | cost =  610091.4375
Threshold =  166  | F-measure =  0.174008151809876  | clusters =  200  | cost =  605277.5
Threshold =  167  | F-measure =  0.174445714063508  | clusters =  231  | cost =  601419.5
Threshold =  168  | F-measure =  0.180070744112151  | clusters =  214  | cost =  595946.3125
Threshold =  169  | F-measure =  0.173008932454312  | clusters =  231  | cost =  592200.6875
Threshold =  170  | F-measure =  0.177782429534376  | clusters =  177  | cost =  586600.875
Threshold =  171  | F-measure =  0.155798732763743  | clusters =  197  | cost =  582092
Threshold =  172  | F-measure =  0.14982711254263  | clusters =  210  | cost =  577492.9375
Threshold =  173  | F-measure =  0.189944974398439  | clusters =  202  | cost =  574044.5
Threshold =  174  | F-measure =  0.125740782206299  | clusters =  162  | cost =  569677.9375
Threshold =  175  | F-measure =  0.171639529130491  | clusters =  191  | cost =  564782.75
Threshold =  176  | F-measure =  0.180383479350264  | clusters =  178  | cost =  560049.1875
Threshold =  177  | F-measure =  0.185056069486687  | clusters =  159  | cost =  554332.8125
Threshold =  178  | F-measure =  0.134301318891836  | clusters =  180  | cost =  551529.9375
Threshold =  179  | F-measure =  0.153254335426146  | clusters =  178  | cost =  545887.625
Threshold =  180  | F-measure =  0.172777443707971  | clusters =  197  | cost =  543614.0625
Threshold =  181  | F-measure =  0.171146024196052  | clusters =  208  | cost =  539929.5
Threshold =  182  | F-measure =  0.16991822900274  | clusters =  201  | cost =  534973.3125
Threshold =  183  | F-measure =  0.172193133217299  | clusters =  202  | cost =  530687.9375
Threshold =  184  | F-measure =  0.167718678554282  | clusters =  187  | cost =  527058.25
Threshold =  185  | F-measure =  0.172467789761479  | clusters =  190  | cost =  523469.6875
Threshold =  186  | F-measure =  0.157141881897071  | clusters =  172  | cost =  519495.78125
Threshold =  187  | F-measure =  0.142365273615274  | clusters =  188  | cost =  516427.75
Threshold =  188  | F-measure =  0.154839610413765  | clusters =  166  | cost =  512279.84375
Threshold =  189  | F-measure =  0.14241316633558  | clusters =  186  | cost =  508980.875
Threshold =  190  | F-measure =  0.171067654290096  | clusters =  202  | cost =  505949.3125
Threshold =  191  | F-measure =  0.184445559854732  | clusters =  199  | cost =  502481.625
Threshold =  192  | F-measure =  0.174183791026922  | clusters =  206  | cost =  498730.96875
Threshold =  193  | F-measure =  0.176946832583067  | clusters =  211  | cost =  494761.84375
Threshold =  194  | F-measure =  0.176946832583067  | clusters =  211  | cost =  490974.78125
Threshold =  195  | F-measure =  0.175510050973872  | clusters =  210  | cost =  487059.40625
Threshold =  196  | F-measure =  0.175510050973872  | clusters =  208  | cost =  483018.75
Threshold =  197  | F-measure =  0.176348173579236  | clusters =  211  | cost =  479094.4375
Threshold =  198  | F-measure =  0.162586836133833  | clusters =  196  | cost =  474936.875
Threshold =  199  | F-measure =  0.165729598543837  | clusters =  203  | cost =  470996.5
Threshold =  200  | F-measure =  0.165121729401485  | clusters =  203  | cost =  467020.4375
Threshold =  201  | F-measure =  0.165121729401485  | clusters =  202  | cost =  462797.75
Threshold =  202  | F-measure =  0.16332575238999  | clusters =  195  | cost =  458725.09375
Threshold =  203  | F-measure =  0.16332575238999  | clusters =  191  | cost =  455393.15625
Threshold =  204  | F-measure =  0.182096881531302  | clusters =  198  | cost =  451555.625
Threshold =  205  | F-measure =  0.180660099922107  | clusters =  196  | cost =  447752.1875
Threshold =  206  | F-measure =  0.180173448086734  | clusters =  194  | cost =  443574.9375
Threshold =  207  | F-measure =  0.175765643247895  | clusters =  194  | cost =  439815.875
Threshold =  208  | F-measure =  0.176252295083267  | clusters =  195  | cost =  436017.15625
Threshold =  209  | F-measure =  0.175298689224906  | clusters =  187  | cost =  432521.15625
Threshold =  210  | F-measure =  0.175785341060279  | clusters =  189  | cost =  428583.6875
Threshold =  211  | F-measure =  0.179546723835686  | clusters =  207  | cost =  425403.9375
Threshold =  212  | F-measure =  0.179546723835686  | clusters =  209  | cost =  421521.15625
Threshold =  213  | F-measure =  0.179013062095127  | clusters =  204  | cost =  417830.875
Threshold =  214  | F-measure =  0.156197753396029  | clusters =  187  | cost =  414587.5
Threshold =  215  | F-measure =  0.178886444860076  | clusters =  194  | cost =  410840.125
Threshold =  216  | F-measure =  0.180856888209829  | clusters =  200  | cost =  407070.53125
Threshold =  217  | F-measure =  0.179276428439714  | clusters =  198  | cost =  403088.21875
Threshold =  218  | F-measure =  0.18280307420774  | clusters =  210  | cost =  399387.53125
Threshold =  219  | F-measure =  0.18280307420774  | clusters =  212  | cost =  395498.125
Threshold =  220  | F-measure =  0.165489252127183  | clusters =  208  | cost =  391637.5
Threshold =  221  | F-measure =  0.158726469725281  | clusters =  204  | cost =  387819.59375
Threshold =  222  | F-measure =  0.158726469725281  | clusters =  206  | cost =  384348.46875
Threshold =  223  | F-measure =  0.158726469725281  | clusters =  213  | cost =  380787.4375
Threshold =  224  | F-measure =  0.157217849035625  | clusters =  208  | cost =  376924.78125
Threshold =  225  | F-measure =  0.157217849035625  | clusters =  213  | cost =  373637.25
Threshold =  226  | F-measure =  0.168270974052561  | clusters =  220  | cost =  369875.28125
Threshold =  227  | F-measure =  0.1760395035809  | clusters =  217  | cost =  365787.21875
Threshold =  228  | F-measure =  0.176877626186264  | clusters =  217  | cost =  361796.125
Threshold =  229  | F-measure =  0.184726507652308  | clusters =  216  | cost =  357811.40625
Threshold =  230  | F-measure =  0.178913855024228  | clusters =  218  | cost =  354297.21875
Threshold =  231  | F-measure =  0.177620751575952  | clusters =  220  | cost =  351008.0625
Threshold =  232  | F-measure =  0.182813690820615  | clusters =  224  | cost =  347250.875
Threshold =  233  | F-measure =  0.18137690921142  | clusters =  222  | cost =  343267.125
Threshold =  234  | F-measure =  0.182813690820615  | clusters =  223  | cost =  339555.3125
Threshold =  235  | F-measure =  0.179940127602225  | clusters =  218  | cost =  335958.3125
Threshold =  236  | F-measure =  0.180658518406822  | clusters =  218  | cost =  331986.53125
Threshold =  237  | F-measure =  0.174445714063508  | clusters =  226  | cost =  328407.875
Threshold =  238  | F-measure =  0.174445714063508  | clusters =  224  | cost =  324432.125
Threshold =  239  | F-measure =  0.174445714063508  | clusters =  225  | cost =  320952.3125
Threshold =  240  | F-measure =  0.174445714063508  | clusters =  228  | cost =  317159.125
Threshold =  241  | F-measure =  0.173152610615232  | clusters =  227  | cost =  313269.65625
Threshold =  242  | F-measure =  0.171715829006036  | clusters =  227  | cost =  309463.5
Threshold =  243  | F-measure =  0.171715829006036  | clusters =  226  | cost =  305577.0625
Threshold =  244  | F-measure =  0.180538786606056  | clusters =  224  | cost =  301613.28125
Threshold =  245  | F-measure =  0.180538786606056  | clusters =  223  | cost =  297731.8125
Threshold =  246  | F-measure =  0.18137690921142  | clusters =  222  | cost =  293852.34375
Threshold =  247  | F-measure =  0.18137690921142  | clusters =  224  | cost =  290203.8125
Threshold =  248  | F-measure =  0.18137690921142  | clusters =  225  | cost =  286475.9375
Threshold =  249  | F-measure =  0.182813690820615  | clusters =  226  | cost =  282746.09375
Threshold =  250  | F-measure =  0.182813690820615  | clusters =  227  | cost =  279014.21875
Threshold =  251  | F-measure =  0.182813690820615  | clusters =  229  | cost =  275352.65625
Threshold =  252  | F-measure =  0.182813690820615  | clusters =  229  | cost =  271544.46875
Threshold =  253  | F-measure =  0.182813690820615  | clusters =  229  | cost =  267736.28125
Threshold =  254  | F-measure =  0.182813690820615  | clusters =  230  | cost =  263997.40625
Threshold =  255  | F-measure =  0.174445714063508  | clusters =  230  | cost =  260188.203125
Threshold =  256  | F-measure =  0.174445714063508  | clusters =  231  | cost =  256446.3125
Threshold =  257  | F-measure =  0.174445714063508  | clusters =  231  | cost =  252636.09375
Threshold =  258  | F-measure =  0.174445714063508  | clusters =  231  | cost =  248825.859375
Threshold =  259  | F-measure =  0.174445714063508  | clusters =  232  | cost =  245079.953125
Threshold =  260  | F-measure =  0.178325024408335  | clusters =  231  | cost =  241205.40625
Threshold =  261  | F-measure =  0.178325024408335  | clusters =  231  | cost =  237395.15625
Threshold =  262  | F-measure =  0.178325024408335  | clusters =  231  | cost =  233584.90625
Threshold =  263  | F-measure =  0.174445714063508  | clusters =  232  | cost =  229834.953125
Threshold =  264  | F-measure =  0.174445714063508  | clusters =  232  | cost =  226023.6875
Threshold =  265  | F-measure =  0.174445714063508  | clusters =  232  | cost =  222212.40625
Threshold =  266  | F-measure =  0.174445714063508  | clusters =  232  | cost =  218401.125
Threshold =  267  | F-measure =  0.174445714063508  | clusters =  231  | cost =  214533.515625
Threshold =  268  | F-measure =  0.174445714063508  | clusters =  232  | cost =  210778.515625
Threshold =  269  | F-measure =  0.174445714063508  | clusters =  232  | cost =  206967.1875
Threshold =  270  | F-measure =  0.174445714063508  | clusters =  232  | cost =  203155.859375
Threshold =  271  | F-measure =  0.174445714063508  | clusters =  232  | cost =  199344.515625
Threshold =  272  | F-measure =  0.174445714063508  | clusters =  232  | cost =  195533.15625
Threshold =  273  | F-measure =  0.174445714063508  | clusters =  232  | cost =  191721.78125
Threshold =  274  | F-measure =  0.174445714063508  | clusters =  232  | cost =  187910.390625
Threshold =  275  | F-measure =  0.174445714063508  | clusters =  232  | cost =  184098.984375
Threshold =  276  | F-measure =  0.174445714063508  | clusters =  232  | cost =  180287.5625
Threshold =  277  | F-measure =  0.174445714063508  | clusters =  232  | cost =  176476.125
Threshold =  278  | F-measure =  0.174445714063508  | clusters =  232  | cost =  172664.65625
Threshold =  279  | F-measure =  0.174445714063508  | clusters =  232  | cost =  168853.1875
Threshold =  280  | F-measure =  0.174445714063508  | clusters =  232  | cost =  165041.6875
Threshold =  281  | F-measure =  0.174445714063508  | clusters =  232  | cost =  161230.15625
Threshold =  282  | F-measure =  0.174445714063508  | clusters =  232  | cost =  157418.59375
Threshold =  283  | F-measure =  0.174445714063508  | clusters =  232  | cost =  153607.03125
Threshold =  284  | F-measure =  0.174445714063508  | clusters =  232  | cost =  149795.421875
Threshold =  285  | F-measure =  0.174445714063508  | clusters =  232  | cost =  145983.78125
Threshold =  286  | F-measure =  0.174445714063508  | clusters =  232  | cost =  142172.09375
Threshold =  287  | F-measure =  0.174445714063508  | clusters =  232  | cost =  138360.390625
Threshold =  288  | F-measure =  0.174445714063508  | clusters =  232  | cost =  134548.640625
Threshold =  289  | F-measure =  0.174445714063508  | clusters =  232  | cost =  130736.9140625
Threshold =  290  | F-measure =  0.174445714063508  | clusters =  232  | cost =  126925.96875
Threshold =  291  | F-measure =  0.174445714063508  | clusters =  232  | cost =  123115.0234375
Threshold =  292  | F-measure =  0.174445714063508  | clusters =  232  | cost =  119304.0859375
Threshold =  293  | F-measure =  0.174445714063508  | clusters =  232  | cost =  115493.1484375
Threshold =  294  | F-measure =  0.174445714063508  | clusters =  232  | cost =  111682.21875
Threshold =  295  | F-measure =  0.174445714063508  | clusters =  232  | cost =  107871.2890625
Threshold =  296  | F-measure =  0.174445714063508  | clusters =  232  | cost =  104060.3671875
Threshold =  297  | F-measure =  0.174445714063508  | clusters =  232  | cost =  100249.4453125
Threshold =  298  | F-measure =  0.174445714063508  | clusters =  232  | cost =  96438.5390625
Threshold =  299  | F-measure =  0.174445714063508  | clusters =  232  | cost =  92627.640625
Threshold =  300  | F-measure =  0.174445714063508  | clusters =  232  | cost =  88816.7421875
Threshold =  301  | F-measure =  0.174445714063508  | clusters =  232  | cost =  85005.859375
Threshold =  302  | F-measure =  0.174445714063508  | clusters =  232  | cost =  81194.984375
Threshold =  303  | F-measure =  0.174445714063508  | clusters =  232  | cost =  77384.125
Threshold =  304  | F-measure =  0.174445714063508  | clusters =  232  | cost =  73573.2734375
Threshold =  305  | F-measure =  0.174445714063508  | clusters =  232  | cost =  69762.4453125
Threshold =  306  | F-measure =  0.174445714063508  | clusters =  232  | cost =  65951.6328125
Threshold =  307  | F-measure =  0.174445714063508  | clusters =  232  | cost =  62140.84765625
Threshold =  308  | F-measure =  0.174445714063508  | clusters =  232  | cost =  58330.0859375
Threshold =  309  | F-measure =  0.174445714063508  | clusters =  232  | cost =  54519.36328125
Threshold =  310  | F-measure =  0.174445714063508  | clusters =  232  | cost =  50708.67578125
Threshold =  311  | F-measure =  0.174445714063508  | clusters =  232  | cost =  46898.04296875
Threshold =  312  | F-measure =  0.174445714063508  | clusters =  232  | cost =  43087.4765625
Threshold =  313  | F-measure =  0.174445714063508  | clusters =  232  | cost =  39276.9921875
Threshold =  314  | F-measure =  0.174445714063508  | clusters =  232  | cost =  35466.6171875
Threshold =  315  | F-measure =  0.174445714063508  | clusters =  232  | cost =  31656.1328125
Threshold =  316  | F-measure =  0.174445714063508  | clusters =  232  | cost =  27845.068359375
Threshold =  317  | F-measure =  0.174445714063508  | clusters =  232  | cost =  24033.982421875
Threshold =  318  | F-measure =  0.174445714063508  | clusters =  232  | cost =  20222.865234375
Threshold =  319  | F-measure =  0.174445714063508  | clusters =  232  | cost =  16411.693359375
Threshold =  320  | F-measure =  0.174445714063508  | clusters =  232  | cost =  12600.4169921875
Best Clustering: 
Threshold =  117  | F-measure =  0.204929337903476  | clusters =  186  | cost =  857733.625
