Threshold =  120  | F-measure =  0.858471080507218  | clusters =  39  | cost =  1230.56726074219
Threshold =  121  | F-measure =  0.858471080507218  | clusters =  39  | cost =  1396.87719726562
Threshold =  122  | F-measure =  0.854110322289836  | clusters =  39  | cost =  1578.53381347656
Threshold =  123  | F-measure =  0.854110322289836  | clusters =  39  | cost =  1773.77478027344
Threshold =  124  | F-measure =  0.84959472294665  | clusters =  40  | cost =  1987.27124023438
Threshold =  125  | F-measure =  0.84959472294665  | clusters =  40  | cost =  2212.69018554688
Threshold =  126  | F-measure =  0.84959472294665  | clusters =  40  | cost =  2456.48217773438
Threshold =  127  | F-measure =  0.84959472294665  | clusters =  40  | cost =  2717.7353515625
Threshold =  128  | F-measure =  0.84959472294665  | clusters =  40  | cost =  3004.61840820312
Threshold =  129  | F-measure =  0.84959472294665  | clusters =  40  | cost =  3325.8203125
Threshold =  130  | F-measure =  0.84959472294665  | clusters =  40  | cost =  3681.080078125
Threshold =  131  | F-measure =  0.84959472294665  | clusters =  40  | cost =  4065.86962890625
Threshold =  132  | F-measure =  0.84959472294665  | clusters =  40  | cost =  4476.9970703125
Threshold =  133  | F-measure =  0.84959472294665  | clusters =  40  | cost =  4911.45361328125
Threshold =  134  | F-measure =  0.84959472294665  | clusters =  40  | cost =  5362.517578125
Threshold =  135  | F-measure =  0.84959472294665  | clusters =  40  | cost =  5832.69091796875
Threshold =  136  | F-measure =  0.843560240188029  | clusters =  41  | cost =  6318.6083984375
Threshold =  137  | F-measure =  0.843560240188029  | clusters =  41  | cost =  6812.63623046875
Threshold =  138  | F-measure =  0.843560240188029  | clusters =  42  | cost =  7310.63818359375
Threshold =  139  | F-measure =  0.843560240188029  | clusters =  42  | cost =  7811.33984375
Threshold =  140  | F-measure =  0.843560240188029  | clusters =  42  | cost =  8314.1181640625
Threshold =  141  | F-measure =  0.830672744541913  | clusters =  44  | cost =  8717.626953125
Threshold =  142  | F-measure =  0.830672744541913  | clusters =  44  | cost =  9030.30859375
Threshold =  143  | F-measure =  0.824262148117313  | clusters =  43  | cost =  9563.3759765625
Threshold =  144  | F-measure =  0.824262148117313  | clusters =  43  | cost =  9792.958984375
Threshold =  145  | F-measure =  0.805167065641282  | clusters =  45  | cost =  9779.9951171875
Threshold =  146  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8423.7060546875
Threshold =  147  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8388.6884765625
Threshold =  148  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8356.9443359375
Threshold =  149  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8327.5458984375
Threshold =  150  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8301.32421875
Threshold =  151  | F-measure =  0.805167065641282  | clusters =  44  | cost =  9370.560546875
Threshold =  152  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8269.46484375
Threshold =  153  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8272.2763671875
Threshold =  154  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8284.8076171875
Threshold =  155  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8308.3134765625
Threshold =  156  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8346.6005859375
Threshold =  157  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8399.5078125
Threshold =  158  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8470.0791015625
Threshold =  159  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8566.5849609375
Threshold =  160  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8691.611328125
Threshold =  161  | F-measure =  0.805167065641282  | clusters =  43  | cost =  8837.189453125
Threshold =  162  | F-measure =  0.805167065641282  | clusters =  43  | cost =  9027.5927734375
Threshold =  163  | F-measure =  0.805167065641282  | clusters =  43  | cost =  9260.3515625
Threshold =  164  | F-measure =  0.805167065641282  | clusters =  43  | cost =  9537.3125
Threshold =  165  | F-measure =  0.805167065641282  | clusters =  43  | cost =  9851.873046875
Threshold =  166  | F-measure =  0.801307475828345  | clusters =  44  | cost =  10210.5810546875
