Threshold = 140 | F-measure = 0.2673491 | clusters = 21 | common = 93 | cost = 244181.625
Threshold = 141 | F-measure = 0.2897308 | clusters = 18 | common = 99 | cost = 246118.21875
Threshold = 142 | F-measure = 0.2875819 | clusters = 31 | common = 94 | cost = 248872.0625
Threshold = 143 | F-measure = 0.2876552 | clusters = 25 | common = 97 | cost = 249305.421875
Threshold = 144 | F-measure = 0.2699446 | clusters = 24 | common = 92 | cost = 246461.703125
Threshold = 145 | F-measure = 0.2712034 | clusters = 28 | common = 92 | cost = 273680.71875
Threshold = 146 | F-measure = 0.2709135 | clusters = 45 | common = 82 | cost = 229413.3125
Threshold = 147 | F-measure = 0.2467272 | clusters = 60 | common = 57 | cost = 228728.03125
Threshold = 148 | F-measure = 0.2801145 | clusters = 46 | common = 87 | cost = 261140.3125
Threshold = 149 | F-measure = 0.2332056 | clusters = 55 | common = 56 | cost = 207015.125
Threshold = 150 | F-measure = 0.2689357 | clusters = 52 | common = 79 | cost = 229510.0625
Threshold = 151 | F-measure = 0.2725981 | clusters = 57 | common = 65 | cost = 198948.5625
Threshold = 152 | F-measure = 0.2407361 | clusters = 71 | common = 55 | cost = 211440.578125
Threshold = 153 | F-measure = 0.2444071 | clusters = 72 | common = 54 | cost = 201493
Threshold = 154 | F-measure = 0.2772206 | clusters = 66 | common = 63 | cost = 193925.671875
Threshold = 155 | F-measure = 0.2499724 | clusters = 50 | common = 61 | cost = 155973.09375
Threshold = 156 | F-measure = 0.2175878 | clusters = 72 | common = 49 | cost = 170922.890625
Threshold = 157 | F-measure = 0.2621006 | clusters = 63 | common = 61 | cost = 151882.453125
Threshold = 158 | F-measure = 0.2730746 | clusters = 70 | common = 63 | cost = 150967.328125
Threshold = 159 | F-measure = 0.2680763 | clusters = 59 | common = 64 | cost = 141460.234375
Threshold = 160 | F-measure = 0.251252 | clusters = 69 | common = 58 | cost = 143631.6875
Threshold = 161 | F-measure = 0.2313177 | clusters = 81 | common = 51 | cost = 135726.546875
Threshold = 162 | F-measure = 0.2550394 | clusters = 73 | common = 58 | cost = 131802.140625
Threshold = 163 | F-measure = 0.2366062 | clusters = 77 | common = 53 | cost = 134767.4375
Threshold = 164 | F-measure = 0.2173087 | clusters = 72 | common = 51 | cost = 128323.453125
Threshold = 165 | F-measure = 0.2243189 | clusters = 71 | common = 50 | cost = 128668.6875
Threshold = 166 | F-measure = 0.2167465 | clusters = 78 | common = 48 | cost = 125547.125
Threshold = 167 | F-measure = 0.2070298 | clusters = 78 | common = 46 | cost = 120723.2890625
Threshold = 168 | F-measure = 0.2320257 | clusters = 89 | common = 51 | cost = 116294.8671875
Threshold = 169 | F-measure = 0.2090054 | clusters = 83 | common = 46 | cost = 112935.453125
Threshold = 170 | F-measure = 0.2194787 | clusters = 109 | common = 45 | cost = 109117.3984375
Threshold = 171 | F-measure = 0.2151823 | clusters = 110 | common = 43 | cost = 104991.578125
Threshold = 172 | F-measure = 0.2101808 | clusters = 86 | common = 46 | cost = 103182.3984375
Threshold = 173 | F-measure = 0.2263113 | clusters = 109 | common = 42 | cost = 97813.53125
Threshold = 174 | F-measure = 0.2204949 | clusters = 130 | common = 42 | cost = 95361.90625
Threshold = 175 | F-measure = 0.2120672 | clusters = 112 | common = 43 | cost = 89691.078125
Threshold = 176 | F-measure = 0.2219961 | clusters = 120 | common = 43 | cost = 86446.1171875
Threshold = 177 | F-measure = 0.1987163 | clusters = 116 | common = 40 | cost = 82204.28125
Threshold = 178 | F-measure = 0.1926799 | clusters = 143 | common = 35 | cost = 80963.8515625
Threshold = 179 | F-measure = 0.2230078 | clusters = 140 | common = 43 | cost = 77420.984375
Threshold = 180 | F-measure = 0.1256862 | clusters = 151 | common = 27 | cost = 73188.984375
Threshold = 181 | F-measure = 0.2149388 | clusters = 147 | common = 38 | cost = 70886.203125
Threshold = 182 | F-measure = 0.2022663 | clusters = 160 | common = 35 | cost = 66923.1796875
Threshold = 183 | F-measure = 0.183561 | clusters = 166 | common = 34 | cost = 62726.05859375
Threshold = 184 | F-measure = 0.1564355 | clusters = 178 | common = 29 | cost = 60559.90234375
Threshold = 185 | F-measure = 0.1728129 | clusters = 190 | common = 30 | cost = 57506.4296875
Threshold = 186 | F-measure = 0.1844437 | clusters = 202 | common = 31 | cost = 55093.3046875
Threshold = 187 | F-measure = 0.1956947 | clusters = 200 | common = 32 | cost = 50912.54296875
Threshold = 188 | F-measure = 0.2034962 | clusters = 208 | common = 33 | cost = 49481.5859375
Threshold = 189 | F-measure = 0.186693 | clusters = 221 | common = 31 | cost = 47014.26953125
Threshold = 190 | F-measure = 0.1857601 | clusters = 213 | common = 31 | cost = 43335.5234375
Threshold = 191 | F-measure = 0.1870577 | clusters = 213 | common = 31 | cost = 40658.4609375
Threshold = 192 | F-measure = 0.1826496 | clusters = 219 | common = 30 | cost = 38586.359375
Threshold = 193 | F-measure = 0.1879699 | clusters = 225 | common = 31 | cost = 36270.32421875
Threshold = 194 | F-measure = 0.189125 | clusters = 222 | common = 31 | cost = 33789.34375
Threshold = 195 | F-measure = 0.1744457 | clusters = 226 | common = 29 | cost = 31866.80078125
Threshold = 196 | F-measure = 0.1738378 | clusters = 227 | common = 29 | cost = 29846.638671875
