Threshold = -1 | Cost = 0 | Clusters = 1
Threshold = 185 | Cost = 0 | Clusters = 860
Threshold = 186 | Cost = 0 | Clusters = 860
Threshold = 187 | Cost = 0 | Clusters = 861
Threshold = 188 | Cost = 0 | Clusters = 863
Threshold = 189 | Cost = 0 | Clusters = 863
Threshold = 190 | Cost = 0 | Clusters = 863
Threshold = 191 | Cost = 0 | Clusters = 864
Threshold = 192 | Cost = 0 | Clusters = 865
Threshold = 193 | Cost = 0 | Clusters = 865
Threshold = 194 | Cost = 0 | Clusters = 865
Threshold = 195 | Cost = 0 | Clusters = 866
Threshold = 196 | Cost = 0 | Clusters = 866
