
currentTclustCluster = c30 | nextThreshold = 24

currentTclustCluster = c18 | nextThreshold = 24

currentTclustCluster = c25 | nextThreshold = 24

currentTclustCluster = c26 | nextThreshold = 24

currentTclustCluster = c22 | nextThreshold = 24

currentTclustCluster = c23 | nextThreshold = 24

currentTclustCluster = c20 | nextThreshold = 24

currentTclustCluster = c9 | nextThreshold = 24

currentTclustCluster = c10 | nextThreshold = 24

currentTclustCluster = c11 | nextThreshold = 24

currentTclustCluster = c12 | nextThreshold = 24

currentTclustCluster = c5 | nextThreshold = 25

currentTclustCluster = c13 | nextThreshold = 25

currentTclustCluster = c14 | nextThreshold = 25

currentTclustCluster = c27 | nextThreshold = 25

currentTclustCluster = c29 | nextThreshold = 25

currentTclustCluster = c30 | nextThreshold = 25

currentTclustCluster = c18 | nextThreshold = 25

currentTclustCluster = c25 | nextThreshold = 25

currentTclustCluster = c26 | nextThreshold = 25

currentTclustCluster = c22 | nextThreshold = 25

currentTclustCluster = c23 | nextThreshold = 25

currentTclustCluster = c20 | nextThreshold = 25

currentTclustCluster = c9 | nextThreshold = 25

currentTclustCluster = c10 | nextThreshold = 25

currentTclustCluster = c11 | nextThreshold = 25

currentTclustCluster = c12 | nextThreshold = 25

currentTclustCluster = c5 | nextThreshold = 26

currentTclustCluster = c13 | nextThreshold = 26

currentTclustCluster = c14 | nextThreshold = 26

currentTclustCluster = c31 | nextThreshold = 26

currentTclustCluster = c29 | nextThreshold = 26

currentTclustCluster = c30 | nextThreshold = 26

currentTclustCluster = c18 | nextThreshold = 26

currentTclustCluster = c25 | nextThreshold = 26

currentTclustCluster = c26 | nextThreshold = 26

currentTclustCluster = c22 | nextThreshold = 26

currentTclustCluster = c23 | nextThreshold = 26

currentTclustCluster = c20 | nextThreshold = 26

currentTclustCluster = c9 | nextThreshold = 26

currentTclustCluster = c10 | nextThreshold = 26

currentTclustCluster = c11 | nextThreshold = 26

currentTclustCluster = c12 | nextThreshold = 26

currentTclustCluster = c5 | nextThreshold = 27

currentTclustCluster = c13 | nextThreshold = 27

currentTclustCluster = c14 | nextThreshold = 27

currentTclustCluster = c31 | nextThreshold = 27

currentTclustCluster = c29 | nextThreshold = 27

currentTclustCluster = c30 | nextThreshold = 27

currentTclustCluster = c18 | nextThreshold = 27

currentTclustCluster = c25 | nextThreshold = 27

currentTclustCluster = c26 | nextThreshold = 27

currentTclustCluster = c22 | nextThreshold = 27

currentTclustCluster = c23 | nextThreshold = 27

currentTclustCluster = c20 | nextThreshold = 27

currentTclustCluster = c9 | nextThreshold = 27

currentTclustCluster = c10 | nextThreshold = 27

currentTclustCluster = c11 | nextThreshold = 27

currentTclustCluster = c12 | nextThreshold = 27

currentTclustCluster = c5 | nextThreshold = 28

currentTclustCluster = c13 | nextThreshold = 28

currentTclustCluster = c14 | nextThreshold = 28

currentTclustCluster = c31 | nextThreshold = 28

currentTclustCluster = c29 | nextThreshold = 28

currentTclustCluster = c30 | nextThreshold = 28

currentTclustCluster = c18 | nextThreshold = 28

currentTclustCluster = c25 | nextThreshold = 28

currentTclustCluster = c26 | nextThreshold = 28

currentTclustCluster = c22 | nextThreshold = 28

currentTclustCluster = c23 | nextThreshold = 28

currentTclustCluster = c20 | nextThreshold = 28

currentTclustCluster = c9 | nextThreshold = 28

currentTclustCluster = c10 | nextThreshold = 28

currentTclustCluster = c11 | nextThreshold = 28

currentTclustCluster = c12 | nextThreshold = 28

currentTclustCluster = c5 | nextThreshold = 29

currentTclustCluster = c13 | nextThreshold = 29

currentTclustCluster = c14 | nextThreshold = 29

currentTclustCluster = c31 | nextThreshold = 29

currentTclustCluster = c29 | nextThreshold = 29

currentTclustCluster = c30 | nextThreshold = 29

currentTclustCluster = c18 | nextThreshold = 29

currentTclustCluster = c25 | nextThreshold = 29

currentTclustCluster = c26 | nextThreshold = 29

currentTclustCluster = c22 | nextThreshold = 29

currentTclustCluster = c23 | nextThreshold = 29

currentTclustCluster = c20 | nextThreshold = 29

currentTclustCluster = c9 | nextThreshold = 29

