
currentTclustCluster = c129 | nextThreshold = 8

currentTclustCluster = c46 | nextThreshold = 8

currentTclustCluster = c174 | nextThreshold = 8

currentTclustCluster = c186 | nextThreshold = 8

currentTclustCluster = c187 | nextThreshold = 8

currentTclustCluster = c140 | nextThreshold = 8

currentTclustCluster = c56 | nextThreshold = 8

currentTclustCluster = c142 | nextThreshold = 8

currentTclustCluster = c145 | nextThreshold = 8

currentTclustCluster = c66 | nextThreshold = 8

currentTclustCluster = c68 | nextThreshold = 8

currentTclustCluster = c79 | nextThreshold = 8

currentTclustCluster = c167 | nextThreshold = 8

currentTclustCluster = c176 | nextThreshold = 8

currentTclustCluster = c177 | nextThreshold = 8

currentTclustCluster = c103 | nextThreshold = 8

currentTclustCluster = c104 | nextThreshold = 8

currentTclustCluster = c105 | nextThreshold = 8

currentTclustCluster = c106 | nextThreshold = 8

currentTclustCluster = c34 | nextThreshold = 9

currentTclustCluster = c35 | nextThreshold = 9

currentTclustCluster = c37 | nextThreshold = 9

currentTclustCluster = c169 | nextThreshold = 9

currentTclustCluster = c188 | nextThreshold = 9

currentTclustCluster = c120 | nextThreshold = 9

currentTclustCluster = c163 | nextThreshold = 9

currentTclustCluster = c164 | nextThreshold = 9

currentTclustCluster = c124 | nextThreshold = 9

currentTclustCluster = c125 | nextThreshold = 9

currentTclustCluster = c129 | nextThreshold = 9

currentTclustCluster = c46 | nextThreshold = 9

currentTclustCluster = c174 | nextThreshold = 9

currentTclustCluster = c186 | nextThreshold = 9

currentTclustCluster = c187 | nextThreshold = 9

currentTclustCluster = c140 | nextThreshold = 9

currentTclustCluster = c56 | nextThreshold = 9

currentTclustCluster = c142 | nextThreshold = 9

currentTclustCluster = c145 | nextThreshold = 9

currentTclustCluster = c66 | nextThreshold = 9

currentTclustCluster = c68 | nextThreshold = 9

currentTclustCluster = c79 | nextThreshold = 9

currentTclustCluster = c167 | nextThreshold = 9

currentTclustCluster = c176 | nextThreshold = 9

currentTclustCluster = c177 | nextThreshold = 9

currentTclustCluster = c103 | nextThreshold = 9

currentTclustCluster = c104 | nextThreshold = 9

currentTclustCluster = c105 | nextThreshold = 9

currentTclustCluster = c106 | nextThreshold = 9

currentTclustCluster = c34 | nextThreshold = 10

currentTclustCluster = c35 | nextThreshold = 10

currentTclustCluster = c37 | nextThreshold = 10

currentTclustCluster = c169 | nextThreshold = 10

currentTclustCluster = c196 | nextThreshold = 10

currentTclustCluster = c120 | nextThreshold = 10

currentTclustCluster = c163 | nextThreshold = 10

currentTclustCluster = c164 | nextThreshold = 10

currentTclustCluster = c124 | nextThreshold = 10

currentTclustCluster = c125 | nextThreshold = 10

currentTclustCluster = c129 | nextThreshold = 10

currentTclustCluster = c46 | nextThreshold = 10

currentTclustCluster = c202 | nextThreshold = 10

currentTclustCluster = c186 | nextThreshold = 10

currentTclustCluster = c187 | nextThreshold = 10

currentTclustCluster = c140 | nextThreshold = 10

currentTclustCluster = c56 | nextThreshold = 10

currentTclustCluster = c142 | nextThreshold = 10

currentTclustCluster = c145 | nextThreshold = 10

currentTclustCluster = c66 | nextThreshold = 10

currentTclustCluster = c68 | nextThreshold = 10

currentTclustCluster = c79 | nextThreshold = 10

currentTclustCluster = c167 | nextThreshold = 10

currentTclustCluster = c176 | nextThreshold = 10

currentTclustCluster = c177 | nextThreshold = 10

currentTclustCluster = c103 | nextThreshold = 10

currentTclustCluster = c104 | nextThreshold = 10

currentTclustCluster = c105 | nextThreshold = 10

currentTclustCluster = c106 | nextThreshold = 10

currentTclustCluster = c34 | nextThreshold = 11

currentTclustCluster = c35 | nextThreshold = 11

currentTclustCluster = c37 | nextThreshold = 11

currentTclustCluster = c206 | nextThreshold = 11

currentTclustCluster = c196 | nextThreshold = 11

currentTclustCluster = c120 | nextThreshold = 11

currentTclustCluster = c163 | nextThreshold = 11

currentTclustCluster = c164 | nextThreshold = 11

currentTclustCluster = c124 | nextThreshold = 11

currentTclustCluster = c125 | nextThreshold = 11

currentTclustCluster = c129 | nextThreshold = 11

currentTclustCluster = c46 | nextThreshold = 11

currentTclustCluster = c209 | nextThreshold = 11

currentTclustCluster = c186 | nextThreshold = 11

currentTclustCluster = c187 | nextThreshold = 11

currentTclustCluster = c140 | nextThreshold = 11

currentTclustCluster = c56 | nextThreshold = 11

currentTclustCluster = c142 | nextThreshold = 11

currentTclustCluster = c145 | nextThreshold = 11

currentTclustCluster = c66 | nextThreshold = 11

currentTclustCluster = c68 | nextThreshold = 11

currentTclustCluster = c79 | nextThreshold = 11

currentTclustCluster = c167 | nextThreshold = 11

currentTclustCluster = c176 | nextThreshold = 11

currentTclustCluster = c177 | nextThreshold = 11

currentTclustCluster = c103 | nextThreshold = 11

currentTclustCluster = c104 | nextThreshold = 11

currentTclustCluster = c105 | nextThreshold = 11

currentTclustCluster = c106 | nextThreshold = 11

currentTclustCluster = c34 | nextThreshold = 12

currentTclustCluster = c35 | nextThreshold = 12

currentTclustCluster = c37 | nextThreshold = 12

currentTclustCluster = c211 | nextThreshold = 12

currentTclustCluster = c214 | nextThreshold = 12

currentTclustCluster = c216 | nextThreshold = 12

currentTclustCluster = c163 | nextThreshold = 12

currentTclustCluster = c164 | nextThreshold = 12

currentTclustCluster = c124 | nextThreshold = 12

currentTclustCluster = c125 | nextThreshold = 12

currentTclustCluster = c129 | nextThreshold = 12

currentTclustCluster = c46 | nextThreshold = 12

currentTclustCluster = c218 | nextThreshold = 12

currentTclustCluster = c186 | nextThreshold = 12

currentTclustCluster = c187 | nextThreshold = 12

currentTclustCluster = c140 | nextThreshold = 12

currentTclustCluster = c56 | nextThreshold = 12

currentTclustCluster = c142 | nextThreshold = 12

currentTclustCluster = c145 | nextThreshold = 12

currentTclustCluster = c66 | nextThreshold = 12

currentTclustCluster = c68 | nextThreshold = 12

currentTclustCluster = c79 | nextThreshold = 12

currentTclustCluster = c167 | nextThreshold = 12

currentTclustCluster = c220 | nextThreshold = 12

currentTclustCluster = c177 | nextThreshold = 12

currentTclustCluster = c103 | nextThreshold = 12

currentTclustCluster = c104 | nextThreshold = 12

currentTclustCluster = c105 | nextThreshold = 12

currentTclustCluster = c106 | nextThreshold = 12

currentTclustCluster = c34 | nextThreshold = 13

currentTclustCluster = c35 | nextThreshold = 13

currentTclustCluster = c37 | nextThreshold = 13

currentTclustCluster = c222 | nextThreshold = 13

currentTclustCluster = c224 | nextThreshold = 13

currentTclustCluster = c216 | nextThreshold = 13

