Threshold = 131 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 220500.796875
Threshold = 132 | F-measure = 0.2567865 | clusters = 3 | common = 98 | cost = 221437.28125
Threshold = 133 | F-measure = 0.2604438 | clusters = 2 | common = 100 | cost = 237461.1875
Threshold = 134 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 241722.953125
Threshold = 135 | F-measure = 0.2586207 | clusters = 3 | common = 99 | cost = 250546.34375
Threshold = 136 | F-measure = 0.2567865 | clusters = 4 | common = 98 | cost = 255669.546875
Threshold = 137 | F-measure = 0.264508 | clusters = 5 | common = 100 | cost = 263456.1875
Threshold = 138 | F-measure = 0.2575694 | clusters = 4 | common = 98 | cost = 268969.625
Threshold = 139 | F-measure = 0.2572944 | clusters = 8 | common = 97 | cost = 277797.375
Threshold = 140 | F-measure = 0.2593787 | clusters = 5 | common = 98 | cost = 281283.03125
Threshold = 141 | F-measure = 0.2546419 | clusters = 6 | common = 96 | cost = 293941.21875
Threshold = 142 | F-measure = 0.2573635 | clusters = 5 | common = 96 | cost = 280225.40625
Threshold = 143 | F-measure = 0.2567865 | clusters = 3 | common = 98 | cost = 324289.28125
Threshold = 144 | F-measure = 0.2590462 | clusters = 11 | common = 95 | cost = 321677.25
Threshold = 145 | F-measure = 0.2565837 | clusters = 8 | common = 94 | cost = 300542.03125
Threshold = 146 | F-measure = 0.2216934 | clusters = 47 | common = 56 | cost = 304225.84375
Threshold = 147 | F-measure = 0.2341074 | clusters = 25 | common = 61 | cost = 252454.984375
Threshold = 148 | F-measure = 0.2251374 | clusters = 48 | common = 54 | cost = 326397.28125
Threshold = 149 | F-measure = 0.2059646 | clusters = 32 | common = 54 | cost = 262788.40625
Threshold = 150 | F-measure = 0.2206809 | clusters = 23 | common = 60 | cost = 221562.171875
Threshold = 151 | F-measure = 0.212778 | clusters = 31 | common = 53 | cost = 242927.78125
Threshold = 152 | F-measure = 0.2247625 | clusters = 21 | common = 59 | cost = 232839.734375
Threshold = 153 | F-measure = 0.233848 | clusters = 32 | common = 59 | cost = 230909.546875
Threshold = 154 | F-measure = 0.213915 | clusters = 22 | common = 57 | cost = 189606.40625
Threshold = 155 | F-measure = 0.2193611 | clusters = 15 | common = 60 | cost = 173549.28125
Threshold = 156 | F-measure = 0.2329248 | clusters = 23 | common = 62 | cost = 186219.296875
Threshold = 157 | F-measure = 0.2345674 | clusters = 18 | common = 63 | cost = 166416.953125
Threshold = 158 | F-measure = 0.2229224 | clusters = 28 | common = 58 | cost = 189510.671875
Threshold = 159 | F-measure = 0.2365919 | clusters = 19 | common = 63 | cost = 161811.515625
Threshold = 160 | F-measure = 0.23885 | clusters = 24 | common = 64 | cost = 176963.21875
Threshold = 161 | F-measure = 0.2359566 | clusters = 21 | common = 64 | cost = 166599.640625
Threshold = 162 | F-measure = 0.2331725 | clusters = 21 | common = 62 | cost = 164838.25
Threshold = 163 | F-measure = 0.2375649 | clusters = 18 | common = 65 | cost = 165092.609375
Threshold = 164 | F-measure = 0.2328569 | clusters = 20 | common = 62 | cost = 161558.078125
Threshold = 165 | F-measure = 0.2296055 | clusters = 19 | common = 62 | cost = 160734.859375
Threshold = 166 | F-measure = 0.2297107 | clusters = 20 | common = 62 | cost = 161433.84375
Threshold = 167 | F-measure = 0.2349776 | clusters = 21 | common = 63 | cost = 160962.390625
Threshold = 168 | F-measure = 0.2337764 | clusters = 22 | common = 62 | cost = 160229.4375
Threshold = 169 | F-measure = 0.2138106 | clusters = 36 | common = 51 | cost = 157623.8125
Threshold = 170 | F-measure = 0.20091 | clusters = 37 | common = 49 | cost = 153262.625
Threshold = 171 | F-measure = 0.2003536 | clusters = 36 | common = 49 | cost = 153874.765625
Threshold = 172 | F-measure = 0.2077317 | clusters = 51 | common = 49 | cost = 151373.75
Threshold = 173 | F-measure = 0.214951 | clusters = 71 | common = 47 | cost = 148200.328125
Threshold = 174 | F-measure = 0.2107812 | clusters = 70 | common = 46 | cost = 141234.390625
Threshold = 175 | F-measure = 0.2091708 | clusters = 57 | common = 46 | cost = 136319.171875
Threshold = 176 | F-measure = 0.206706 | clusters = 51 | common = 48 | cost = 129693.765625
Threshold = 177 | F-measure = 0.2000516 | clusters = 54 | common = 46 | cost = 123870.21875
Threshold = 178 | F-measure = 0.2079762 | clusters = 48 | common = 49 | cost = 123356.46875
Threshold = 179 | F-measure = 0.2141708 | clusters = 58 | common = 48 | cost = 118950.1484375
Threshold = 180 | F-measure = 0.213659 | clusters = 72 | common = 46 | cost = 116684.1640625
Threshold = 181 | F-measure = 0.2247164 | clusters = 88 | common = 48 | cost = 114345.359375
Threshold = 182 | F-measure = 0.2320305 | clusters = 96 | common = 48 | cost = 109172.4921875
Threshold = 183 | F-measure = 0.2166723 | clusters = 107 | common = 45 | cost = 105224.0546875
Threshold = 184 | F-measure = 0.2035948 | clusters = 122 | common = 39 | cost = 100675.3203125
Threshold = 185 | F-measure = 0.1956835 | clusters = 142 | common = 37 | cost = 99089.0546875
Threshold = 186 | F-measure = 0.2177198 | clusters = 131 | common = 43 | cost = 96903.78125
Threshold = 187 | F-measure = 0.2123698 | clusters = 146 | common = 39 | cost = 90752.21875
Threshold = 188 | F-measure = 0.2016906 | clusters = 131 | common = 38 | cost = 84657.3359375
Threshold = 189 | F-measure = 0.2281711 | clusters = 143 | common = 43 | cost = 86714.1796875
Threshold = 190 | F-measure = 0.1139526 | clusters = 162 | common = 26 | cost = 81537.3828125
Threshold = 191 | F-measure = 0.1371258 | clusters = 178 | common = 27 | cost = 81221.8671875
Threshold = 192 | F-measure = 0.1967893 | clusters = 160 | common = 36 | cost = 73465.34375
Threshold = 193 | F-measure = 0.154423 | clusters = 184 | common = 29 | cost = 74076
Threshold = 194 | F-measure = 0.1321121 | clusters = 184 | common = 26 | cost = 68677.4921875
Threshold = 195 | F-measure = 0.1529486 | clusters = 206 | common = 28 | cost = 67255.7109375
Threshold = 196 | F-measure = 0.1654174 | clusters = 200 | common = 29 | cost = 63390.16015625
Threshold = 197 | F-measure = 0.1614672 | clusters = 204 | common = 29 | cost = 61057.1171875
Threshold = 198 | F-measure = 0.1627909 | clusters = 206 | common = 29 | cost = 57562.7890625
Threshold = 199 | F-measure = 0.1662143 | clusters = 215 | common = 29 | cost = 55327.57421875
Threshold = 200 | F-measure = 0.1649765 | clusters = 215 | common = 29 | cost = 52066.390625
Threshold = 201 | F-measure = 0.1933979 | clusters = 208 | common = 32 | cost = 48786.8515625
Threshold = 202 | F-measure = 0.1663349 | clusters = 214 | common = 29 | cost = 46099.7890625
Threshold = 203 | F-measure = 0.1655512 | clusters = 214 | common = 29 | cost = 43366.734375
Threshold = 204 | F-measure = 0.1920968 | clusters = 216 | common = 32 | cost = 41635.29296875
Threshold = 205 | F-measure = 0.166988 | clusters = 211 | common = 30 | cost = 38154.421875
Threshold = 206 | F-measure = 0.1813769 | clusters = 221 | common = 30 | cost = 37326.39453125
Threshold = 207 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 35474.9609375
Threshold = 208 | F-measure = 0.1828137 | clusters = 230 | common = 30 | cost = 33393.390625
Threshold = 209 | F-measure = 0.1882393 | clusters = 222 | common = 31 | cost = 30756.322265625
Threshold = 210 | F-measure = 0.1812227 | clusters = 226 | common = 30 | cost = 29247.970703125
Threshold = 211 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 27572.216796875
Threshold = 212 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 25801.48046875
Threshold = 213 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 24199.630859375
Threshold = 214 | F-measure = 0.1910192 | clusters = 227 | common = 31 | cost = 22559.27734375
Threshold = 215 | F-measure = 0.1907778 | clusters = 226 | common = 31 | cost = 20920.3515625
Threshold = 216 | F-measure = 0.1730089 | clusters = 231 | common = 29 | cost = 19903.849609375
Threshold = 217 | F-measure = 0.1828137 | clusters = 227 | common = 30 | cost = 18348.900390625
Threshold = 218 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 17246.80078125
Threshold = 219 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 16129.962890625
Threshold = 220 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 14976.0283203125
Threshold = 221 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 13970.1357421875
Threshold = 222 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 12935.3828125
Threshold = 223 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 12002.939453125
Threshold = 224 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 11131.6953125
Threshold = 225 | F-measure = 0.1732963 | clusters = 229 | common = 29 | cost = 10202.4951171875
Threshold = 226 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 9619.0419921875
Threshold = 227 | F-measure = 0.1828137 | clusters = 231 | common = 30 | cost = 8874.7802734375
Threshold = 228 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 8216.28125
Threshold = 229 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 7584.52294921875
Threshold = 230 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 6951.31591796875
Threshold = 231 | F-measure = 0.1731526 | clusters = 230 | common = 29 | cost = 6417.3486328125
Threshold = 232 | F-measure = 0.1643398 | clusters = 229 | common = 28 | cost = 5905.0517578125
Threshold = 233 | F-measure = 0.1643398 | clusters = 229 | common = 28 | cost = 5430.97265625
Threshold = 234 | F-measure = 0.1717158 | clusters = 228 | common = 29 | cost = 4964.6533203125
Threshold = 235 | F-measure = 0.1717158 | clusters = 228 | common = 29 | cost = 4546.57080078125
Threshold = 236 | F-measure = 0.1614663 | clusters = 227 | common = 28 | cost = 4160.08740234375
Threshold = 237 | F-measure = 0.162903 | clusters = 227 | common = 28 | cost = 3788.15698242188
Threshold = 238 | F-measure = 0.1619024 | clusters = 225 | common = 28 | cost = 3434.326171875
Threshold = 239 | F-measure = 0.1619024 | clusters = 223 | common = 28 | cost = 3097.86572265625
Threshold = 240 | F-measure = 0.1707152 | clusters = 219 | common = 29 | cost = 2760.89208984375
Threshold = 241 | F-measure = 0.1790832 | clusters = 217 | common = 30 | cost = 2476.20336914062
Threshold = 242 | F-measure = 0.1850751 | clusters = 182 | common = 32 | cost = 1455.76831054688
Threshold = 243 | F-measure = 0.1870866 | clusters = 182 | common = 32 | cost = 1268.24951171875
Threshold = 244 | F-measure = 0.2063337 | clusters = 150 | common = 36 | cost = 551.098876953125
Threshold = 245 | F-measure = 0.198505 | clusters = 152 | common = 35 | cost = 482.924011230469
Threshold = 246 | F-measure = 0.1907365 | clusters = 155 | common = 34 | cost = 422.802490234375
Threshold = 247 | F-measure = 0.1926425 | clusters = 159 | common = 34 | cost = 370.274322509766
Threshold = 248 | F-measure = 0.1949364 | clusters = 162 | common = 34 | cost = 321.584655761719
Threshold = 249 | F-measure = 0.1949364 | clusters = 163 | common = 34 | cost = 278.905456542969
Threshold = 250 | F-measure = 0.1989594 | clusters = 168 | common = 34 | cost = 240.341049194336
Threshold = 251 | F-measure = 0.200135 | clusters = 172 | common = 34 | cost = 208.180786132812
Threshold = 252 | F-measure = 0.2015718 | clusters = 179 | common = 34 | cost = 178.078277587891
Threshold = 253 | F-measure = 0.2015718 | clusters = 180 | common = 34 | cost = 153.220611572266
Threshold = 254 | F-measure = 0.2024099 | clusters = 182 | common = 34 | cost = 131.170196533203
Threshold = 255 | F-measure = 0.1969053 | clusters = 189 | common = 33 | cost = 111.101852416992
Threshold = 256 | F-measure = 0.1930568 | clusters = 194 | common = 32 | cost = 91.8243408203125
