Threshold = 141 | F-measure = 0.9107066 | clusters = 44 | common = 202 | cost = 8717.626953125
Threshold = 142 | F-measure = 0.9107066 | clusters = 44 | common = 202 | cost = 9030.30859375
Threshold = 143 | F-measure = 0.9084965 | clusters = 43 | common = 201 | cost = 9563.3759765625
Threshold = 144 | F-measure = 0.9084965 | clusters = 43 | common = 201 | cost = 9792.958984375
Threshold = 145 | F-measure = 0.9017295 | clusters = 45 | common = 198 | cost = 9779.9951171875
Threshold = 146 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8423.7060546875
Threshold = 147 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8388.6884765625
Threshold = 148 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8356.9443359375
Threshold = 149 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8327.5458984375
Threshold = 150 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8301.32421875
Threshold = 151 | F-measure = 0.9017295 | clusters = 44 | common = 198 | cost = 9370.560546875
Threshold = 152 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8269.46484375
Threshold = 153 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8272.2763671875
Threshold = 154 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8284.8076171875
Threshold = 155 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8308.3134765625
Threshold = 156 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8346.6005859375
Threshold = 157 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8399.5078125
Threshold = 158 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8470.0791015625
Threshold = 159 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8566.5849609375
Threshold = 160 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8691.611328125
Threshold = 161 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 8837.189453125
Threshold = 162 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 9027.5927734375
Threshold = 163 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 9260.3515625
Threshold = 164 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 9537.3125
Threshold = 165 | F-measure = 0.9017295 | clusters = 43 | common = 198 | cost = 9851.873046875
Threshold = 166 | F-measure = 0.8969684 | clusters = 44 | common = 197 | cost = 10210.5810546875
Threshold = 167 | F-measure = 0.8969684 | clusters = 44 | common = 197 | cost = 10607.33984375
Threshold = 168 | F-measure = 0.8969684 | clusters = 44 | common = 197 | cost = 11043.7333984375
Threshold = 169 | F-measure = 0.8969684 | clusters = 44 | common = 197 | cost = 11533.8427734375
Threshold = 170 | F-measure = 0.8969684 | clusters = 44 | common = 197 | cost = 12078.640625
Threshold = 171 | F-measure = 0.8946474 | clusters = 45 | common = 196 | cost = 12702.24609375
Threshold = 172 | F-measure = 0.8946474 | clusters = 45 | common = 196 | cost = 13390.5068359375
Threshold = 173 | F-measure = 0.8946474 | clusters = 45 | common = 196 | cost = 14134.66015625
Threshold = 174 | F-measure = 0.8946474 | clusters = 45 | common = 196 | cost = 14941.3076171875
Threshold = 175 | F-measure = 0.8946474 | clusters = 45 | common = 196 | cost = 15817.6708984375
Threshold = 176 | F-measure = 0.8946474 | clusters = 45 | common = 196 | cost = 16767.84765625
Threshold = 177 | F-measure = 0.8876679 | clusters = 46 | common = 193 | cost = 17002.515625
Threshold = 178 | F-measure = 0.8876679 | clusters = 48 | common = 193 | cost = 18836.302734375
Threshold = 179 | F-measure = 0.8876679 | clusters = 48 | common = 193 | cost = 19728.169921875
Threshold = 180 | F-measure = 0.8876679 | clusters = 47 | common = 193 | cost = 20553.71875
Threshold = 181 | F-measure = 0.8876679 | clusters = 47 | common = 193 | cost = 21569.712890625
Threshold = 182 | F-measure = 0.8876679 | clusters = 47 | common = 193 | cost = 22585.71484375
Threshold = 183 | F-measure = 0.8854735 | clusters = 48 | common = 192 | cost = 23595.71875
Threshold = 184 | F-measure = 0.8854735 | clusters = 48 | common = 192 | cost = 24584.712890625
Threshold = 185 | F-measure = 0.8854735 | clusters = 48 | common = 192 | cost = 25573.705078125
Threshold = 186 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 25752.228515625
Threshold = 187 | F-measure = 0.8854735 | clusters = 48 | common = 192 | cost = 27551.685546875
Threshold = 188 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 27746.21875
Threshold = 189 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 28743.208984375
Threshold = 190 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 29740.201171875
Threshold = 191 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 30737.19921875
Threshold = 192 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 31734.1953125
Threshold = 193 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 32731.19140625
Threshold = 194 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 34386.40625
Threshold = 195 | F-measure = 0.8854735 | clusters = 47 | common = 192 | cost = 34725.1875
Threshold = 196 | F-measure = 0.883098 | clusters = 49 | common = 191 | cost = 35813.65625
Threshold = 197 | F-measure = 0.883098 | clusters = 49 | common = 191 | cost = 36712.65234375
Threshold = 198 | F-measure = 0.883098 | clusters = 49 | common = 191 | cost = 37611.65234375
Threshold = 199 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 38431.38671875
Threshold = 200 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 39240.37109375
Threshold = 201 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 40049.359375
Threshold = 202 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 40858.359375
Threshold = 203 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 41667.34765625
Threshold = 204 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 42476.33984375
Threshold = 205 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 43285.328125
Threshold = 206 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 44094.328125
Threshold = 207 | F-measure = 0.8806974 | clusters = 51 | common = 190 | cost = 44903.3203125
Threshold = 208 | F-measure = 0.8779896 | clusters = 52 | common = 189 | cost = 45708.0234375
Threshold = 209 | F-measure = 0.875714 | clusters = 53 | common = 188 | cost = 46506.28125
Threshold = 210 | F-measure = 0.875714 | clusters = 53 | common = 188 | cost = 47284.27734375
Threshold = 211 | F-measure = 0.875714 | clusters = 53 | common = 188 | cost = 48062.26953125
Threshold = 212 | F-measure = 0.875714 | clusters = 53 | common = 188 | cost = 48840.26953125
Threshold = 213 | F-measure = 0.875714 | clusters = 53 | common = 188 | cost = 49618.26171875
Threshold = 214 | F-measure = 0.875714 | clusters = 53 | common = 188 | cost = 50396.2578125
Threshold = 215 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 51166.41015625
Threshold = 216 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 51932.40234375
Threshold = 217 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 52698.40234375
Threshold = 218 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 53464.39453125
Threshold = 219 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 54230.39453125
Threshold = 220 | F-measure = 0.8599692 | clusters = 56 | common = 183 | cost = 54526.36328125
Threshold = 221 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 55762.38671875
Threshold = 222 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 56528.3828125
Threshold = 223 | F-measure = 0.8648475 | clusters = 54 | common = 185 | cost = 57294.37890625
Threshold = 224 | F-measure = 0.8574908 | clusters = 57 | common = 182 | cost = 56518.5703125
Threshold = 225 | F-measure = 0.8574908 | clusters = 57 | common = 182 | cost = 57022.5625
Threshold = 226 | F-measure = 0.8498928 | clusters = 59 | common = 179 | cost = 58036.0078125
Threshold = 227 | F-measure = 0.852453 | clusters = 58 | common = 180 | cost = 57938.5546875
Threshold = 228 | F-measure = 0.852453 | clusters = 58 | common = 180 | cost = 58274.5546875
Threshold = 229 | F-measure = 0.8281259 | clusters = 60 | common = 171 | cost = 58817.671875
Threshold = 230 | F-measure = 0.8281259 | clusters = 60 | common = 171 | cost = 58921.671875
Threshold = 231 | F-measure = 0.8281259 | clusters = 60 | common = 171 | cost = 59025.66796875
Threshold = 232 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59012.7421875
Threshold = 233 | F-measure = 0.8306861 | clusters = 61 | common = 172 | cost = 59858.0546875
Threshold = 234 | F-measure = 0.8281259 | clusters = 61 | common = 171 | cost = 59200.28125
Threshold = 235 | F-measure = 0.8255375 | clusters = 63 | common = 170 | cost = 59425.95703125
Threshold = 236 | F-measure = 0.8281259 | clusters = 62 | common = 171 | cost = 59491.58984375
Threshold = 237 | F-measure = 0.8255375 | clusters = 63 | common = 170 | cost = 59199.04296875
Threshold = 238 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59132.73828125
Threshold = 239 | F-measure = 0.8255375 | clusters = 63 | common = 170 | cost = 59489.95703125
Threshold = 240 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59172.73828125
Threshold = 241 | F-measure = 0.8255375 | clusters = 64 | common = 170 | cost = 59604.26171875
Threshold = 242 | F-measure = 0.8255375 | clusters = 63 | common = 170 | cost = 59294.04296875
Threshold = 243 | F-measure = 0.8255375 | clusters = 64 | common = 170 | cost = 59634.2578125
Threshold = 244 | F-measure = 0.8255375 | clusters = 63 | common = 170 | cost = 59332.04296875
Threshold = 245 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59272.734375
Threshold = 246 | F-measure = 0.8281259 | clusters = 61 | common = 171 | cost = 60424.26953125
Threshold = 247 | F-measure = 0.8281259 | clusters = 61 | common = 171 | cost = 60526.265625
Threshold = 248 | F-measure = 0.8148934 | clusters = 64 | common = 166 | cost = 60673.4453125
Threshold = 249 | F-measure = 0.8121572 | clusters = 65 | common = 165 | cost = 61268.1015625
Threshold = 250 | F-measure = 0.817599 | clusters = 65 | common = 167 | cost = 60432.4921875
Threshold = 251 | F-measure = 0.8148934 | clusters = 63 | common = 166 | cost = 59722.140625
Threshold = 252 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59412.7265625
Threshold = 253 | F-measure = 0.8255375 | clusters = 63 | common = 170 | cost = 59713.9453125
Threshold = 254 | F-measure = 0.8148934 | clusters = 65 | common = 166 | cost = 59192.671875
Threshold = 255 | F-measure = 0.8148934 | clusters = 65 | common = 166 | cost = 58895.6796875
Threshold = 256 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59492.71875
Threshold = 257 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59512.71875
Threshold = 258 | F-measure = 0.8148934 | clusters = 65 | common = 166 | cost = 58004.6875
Threshold = 259 | F-measure = 0.8121572 | clusters = 65 | common = 165 | cost = 57761.0546875
Threshold = 260 | F-measure = 0.8255375 | clusters = 64 | common = 170 | cost = 59889.2421875
Threshold = 261 | F-measure = 0.8255375 | clusters = 62 | common = 170 | cost = 59592.71875
Threshold = 262 | F-measure = 0.8037599 | clusters = 67 | common = 162 | cost = 58712.23828125
Threshold = 263 | F-measure = 0.806591 | clusters = 66 | common = 163 | cost = 57296.515625
Threshold = 264 | F-measure = 0.8037599 | clusters = 67 | common = 162 | cost = 57584.765625
Threshold = 265 | F-measure = 0.8148934 | clusters = 65 | common = 166 | cost = 55925.6953125
Threshold = 266 | F-measure = 0.8037599 | clusters = 68 | common = 162 | cost = 55509.69921875
Threshold = 267 | F-measure = 0.8121572 | clusters = 67 | common = 165 | cost = 54889.69140625
Threshold = 268 | F-measure = 0.8148934 | clusters = 66 | common = 166 | cost = 55090.00390625
Threshold = 269 | F-measure = 0.8037599 | clusters = 68 | common = 162 | cost = 53715.71484375
Threshold = 270 | F-measure = 0.8093899 | clusters = 66 | common = 164 | cost = 53213.34375
Threshold = 271 | F-measure = 0.806591 | clusters = 68 | common = 163 | cost = 53362.69921875
Threshold = 272 | F-measure = 0.8148934 | clusters = 65 | common = 166 | cost = 53846.7109375
Threshold = 273 | F-measure = 0.8121572 | clusters = 65 | common = 165 | cost = 53192.46875
Threshold = 274 | F-measure = 0.800896 | clusters = 67 | common = 161 | cost = 53511.046875
Threshold = 275 | F-measure = 0.806591 | clusters = 67 | common = 163 | cost = 50739.2578125
Threshold = 276 | F-measure = 0.8070689 | clusters = 68 | common = 163 | cost = 50562.875
Threshold = 277 | F-measure = 0.8014389 | clusters = 69 | common = 161 | cost = 48921.99609375
Threshold = 278 | F-measure = 0.7927469 | clusters = 71 | common = 158 | cost = 50502.58203125
Threshold = 279 | F-measure = 0.8014389 | clusters = 71 | common = 161 | cost = 47802.625
Threshold = 280 | F-measure = 0.7897815 | clusters = 71 | common = 157 | cost = 48012.76953125
Threshold = 281 | F-measure = 0.7897815 | clusters = 71 | common = 157 | cost = 47131.7890625
Threshold = 282 | F-measure = 0.7897815 | clusters = 72 | common = 157 | cost = 46498.640625
Threshold = 283 | F-measure = 0.7985751 | clusters = 72 | common = 160 | cost = 45224.71875
Threshold = 284 | F-measure = 0.7927469 | clusters = 72 | common = 158 | cost = 45136.41796875
Threshold = 285 | F-measure = 0.7867809 | clusters = 73 | common = 156 | cost = 43211.6875
Threshold = 286 | F-measure = 0.7927469 | clusters = 71 | common = 158 | cost = 42850.65625
Threshold = 287 | F-measure = 0.7837446 | clusters = 73 | common = 155 | cost = 41985.84765625
Threshold = 288 | F-measure = 0.7806719 | clusters = 74 | common = 154 | cost = 40972.0234375
Threshold = 289 | F-measure = 0.7806719 | clusters = 75 | common = 154 | cost = 40091.8984375
Threshold = 290 | F-measure = 0.7897815 | clusters = 74 | common = 157 | cost = 39255.51171875
Threshold = 291 | F-measure = 0.7897815 | clusters = 73 | common = 157 | cost = 38299.9453125
Threshold = 292 | F-measure = 0.7806719 | clusters = 73 | common = 154 | cost = 36565.61328125
Threshold = 293 | F-measure = 0.7806719 | clusters = 73 | common = 154 | cost = 35481.65234375
Threshold = 294 | F-measure = 0.7806719 | clusters = 73 | common = 154 | cost = 34397.6484375
Threshold = 295 | F-measure = 0.7806719 | clusters = 74 | common = 154 | cost = 33483.48046875
Threshold = 296 | F-measure = 0.7806719 | clusters = 74 | common = 154 | cost = 32393.478515625
Threshold = 297 | F-measure = 0.7806719 | clusters = 75 | common = 154 | cost = 31356.0859375
