Threshold = 163 | Cost = 78.8016891479492 | Clusters = 801
Threshold = 164 | Cost = 48.4754295349121 | Clusters = 811
Threshold = 165 | Cost = 32.3068313598633 | Clusters = 820
Threshold = 166 | Cost = 20.8078498840332 | Clusters = 827
Threshold = 167 | Cost = 15.8576707839966 | Clusters = 837
Threshold = 168 | Cost = 11.1271991729736 | Clusters = 840
Threshold = 169 | Cost = 8.12720012664795 | Clusters = 848
Threshold = 170 | Cost = 5.12720012664795 | Clusters = 852
Threshold = 171 | Cost = 2.68344020843506 | Clusters = 854
Threshold = 172 | Cost = 1.00286996364594 | Clusters = 858
Threshold = 173 | Cost = 0.00286999996751547 | Clusters = 862
Threshold = 174 | Cost = 0 | Clusters = 863
Threshold = 175 | Cost = 0 | Clusters = 864
Threshold = 176 | Cost = 0 | Clusters = 864
Threshold = 177 | Cost = 0 | Clusters = 865
Threshold = 178 | Cost = 0 | Clusters = 865
Threshold = 179 | Cost = 0 | Clusters = 866
Threshold = 180 | Cost = 0 | Clusters = 866
